Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
59,1,1,-22149.811167703017,4010.77086883,4010.77086883
59,1,1,-24803.611167703017,0.0,4035.83813712
59,1,1,-22450.862482678018,5006.548685025,5006.548685025
59,1,1,-18953.929741599866,6150.732741078152,6476.257285435
59,1,1,-18957.69864633959,2650.0310952602745,7620.865503680001
59,1,1,-13345.813079299594,8265.685567039998,8265.685567039998
59,1,1,-15999.613079299594,0.0,8764.794632559999
59,1,1,-12122.63079322144,6530.782286078153,12239.782654320003
60,1,1,-7397.537942143288,7378.8928510781525,16489.374657625
60,1,1,-3192.5128910651365,6858.825051078152,18045.80456294
60,1,1,-2443.9384449869867,3402.37444607815,11373.07266384
60,1,1,-5097.738444986987,0.0,5555.6092633650005
60,1,1,-7751.538444986987,0.0,4119.3870286500005
60,1,1,-10314.016505466987,0.0,2562.47806048
60,1,1,-10314.016505466987,1478.040686665,1478.040686665
60,1,1,-11363.617337746986,0.0,1049.6008322799998
61,1,1,-12813.646372546986,0.0,1450.0290348
61,1,1,-12813.646372546986,626.412662985,626.412662985
61,1,1,-12813.646372546986,543.246821,543.246821
61,1,1,-12813.646372546986,356.51447743,356.51447743
61,1,1,-12813.646372546986,84.40300330000001,84.40300330000001
61,1,1,-12813.646372546986,261.127042155,261.127042155
61,1,1,-12813.646372546986,532.126371385,532.126371385
